YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
27	149	17.17449664	270.487663	0.4228187919	0.22910492	0.8512205296	0.3359375	32	199	7.881832143	281.9029773	8.0625	14.42211055	0.3607635498	0.1701011277	0.003704728378	0.04057865544	0.08739251828	0.07385990943	0.1552277383	0.002229345844	0.02085334396	0.04050496634	0.03458630258	0.07192716895	0.2671245302	0.1256897376	0.09363901958	0.04441139005	32	87	58	27	27	27	116	115
28	150	17.88	291.6712964	0.42	0.2254465039	0.8477935496	0.376953125	39	198	10.02169133	302.9028461	9.153846154	14.97979798	0.3878746033	0.1843765704	0.003909704793	0.03797141656	0.09122078833	0.08583556812	0.1689371255	0.002205800275	0.02008274368	0.04208459358	0.04107132742	0.0789321054	0.2880120521	0.1366905157	0.09986255116	0.04768605463	34	84	60	31	31	28	120	117
29	154	18.37012987	314.6684212	0.4025974026	0.2199626255	0.8388721228	0.451171875	40	200	10.12921289	325.5649983	9.45	15.68	0.4150886536	0.1985152618	0.003756763326	0.03865810528	0.08747135442	0.1019280899	0.1832743407	0.00217187018	0.02037673631	0.04092897186	0.04881996744	0.08621771598	0.3108045367	0.1483154513	0.1042841169	0.05019981043	35	83	57	36	36	29	121	119
30	159	18.66666667	335.8182197	0.3836477987	0.2078204904	0.8174797193	0.5	38	206	9.614208922	346.3911464	9.526315789	15.98543689	0.4382781982	0.2111604631	0.003582847423	0.04013879274	0.08989018678	0.1070232642	0.1976431071	0.002167283832	0.0211297013	0.04280534915	0.0513097949	0.09374833387	0.3329259478	0.1599247755	0.1053522504	0.05123568756	34	87	57	36	36	30	123	121
31	162	19.48765432	357.7109539	0.4012345679	0.2116100611	0.8029333477	0.56640625	43	208	10.14248022	368.1161081	9.372093023	16.59615385	0.4622688293	0.2251631456	0.003702663625	0.04201631035	0.07897874339	0.1175244024	0.2200467095	0.002345497468	0.02242467833	0.03845419273	0.05654241401	0.1053963631	0.3520341713	0.1708082926	0.110234658	0.05435485299	37	90	51	40	40	33	126	125
32	164	20.14634146	379.8869455	0.3963414634	0.2060309696	0.7944805545	0.626953125	44	212	10.8262206	390.4655627	10.25	16.97169811	0.4895553589	0.2396086491	0.004014818576	0.04245110146	0.06755394531	0.1213978869	0.2541376067	0.002536867151	0.02273597379	0.03339531574	0.05969849129	0.1212420011	0.3754888873	0.1830928656	0.1140664716	0.05651578347	39	90	46	43	43	38	129	127
33	164	20.67073171	392.7548466	0.3902439024	0.2044861094	0.7840548404	0.61328125	52	207	13.05529858	401.3871161	10.26923077	17.73429952	0.5016326904	0.2482092191	0.004077759101	0.04146200055	0.06599232276	0.1183700909	0.2717305171	0.002533619005	0.02280064764	0.03320906476	0.05918046216	0.1304854256	0.386090324	0.1901776448	0.1155423664	0.05803157432	39	91	46	42	42	41	131	128
34	162	21.59259259	409.0397814	0.3950617284	0.2058228565	0.7628370811	0.658203125	55	208	13.42912548	418.9520934	9.363636364	18.52403846	0.5218811035	0.2597882539	0.004570353761	0.03744968541	0.06925934684	0.1135704913	0.2970312262	0.002798490947	0.02096648903	0.03514345868	0.05731717807	0.1435626372	0.4008820742	0.1986008875	0.1209990293	0.06118736649	43	86	50	40	40	44	134	129
35	164	22.45121951	430.1815287	0.3902439024	0.200040427	0.7505432015	0.70703125	59	208	13.56086722	439.9311421	8.474576271	19.57692308	0.5447425842	0.2732687035	0.004545446181	0.03717339099	0.0668838676	0.1134327135	0.322707166	0.003057616509	0.02101980418	0.03449748841	0.05760180216	0.1570919922	0.4222504191	0.2105211613	0.1224921651	0.06274754223	46	85	49	40	40	47	138	129
36	168	22.85714286	449.5530542	0.3869047619	0.2002507408	0.7370556706	0.748046875	58	212	14.2336218	458.5815708	9.034482759	20.0990566	0.5623779297	0.2858689128	0.004459271075	0.03681399961	0.06591157441	0.1089093264	0.3462837582	0.002995558406	0.02150515642	0.03471115628	0.05656332364	0.170093718	0.4359279516	0.2203528014	0.1264499781	0.06551611136	44	88	49	39	39	50	140	130
37	167	23.60479042	467.2165421	0.377245509	0.1904459957	0.7116663101	0.7890625	63	213	17.28382635	476.7386093	9.634920635	20.69014085	0.5846557617	0.2995411772	0.004480560493	0.03636446739	0.06919710011	0.0958876477	0.378725986	0.003272267478	0.02156892674	0.03703954742	0.04954484198	0.1881155936	0.4555330151	0.2324602935	0.1291227467	0.06708088373	48	88	51	34	34	55	143	133
38	170	24.42941176	481.4305209	0.3941176471	0.1951972157	0.7013218895	0.814453125	59	220	14.14265342	492.7304039	8.694915254	21.3	0.59532547	0.3082113378	0.004913588479	0.03694080081	0.06545193979	0.092553487	0.3954656539	0.003635121782	0.02196374547	0.0355764264	0.04777995993	0.1992560842	0.463122213	0.2391049127	0.1322032569	0.06910642512	50	89	49	33	33	58	146	133
39	168	25.20833333	499.2612641	0.380952381	0.1888389419	0.6886351879	0.830078125	78	202	18.51564802	507.207627	9.5	22.96534653	0.614730835	0.3204963393	0.004744458222	0.03697327264	0.06197432995	0.08601168371	0.4250270904	0.00358853034	0.02205996432	0.03457611906	0.04466225462	0.2156094709	0.481112532	0.2502757502	0.133618303	0.07022058907	51	89	47	31	31	62	147	133
40	169	25.87573964	505.6526236	0.3846153846	0.1919814438	0.6659718274	0.849609375	73	208	17.70836153	513.9516553	9.95890411	23.12980769	0.6199836731	0.3247744262	0.004671936876	0.03553507712	0.06267309023	0.09128015366	0.4258234152	0.003715929319	0.0210809366	0.0352772575	0.04770457307	0.2169957297	0.483622824	0.252497602	0.136360849	0.0722768242	54	86	48	32	32	61	149	132
41	165	27.23030303	520.1078983	0.3818181818	0.1906847901	0.6516180049	0.873046875	74	209	18.2673653	529.6501337	10.02702703	23.98564593	0.6326408386	0.3355993719	0.004796678616	0.03437299607	0.0589194466	0.09357526475	0.4409764526	0.003819380773	0.02080949255	0.03441746251	0.04917058257	0.2273824535	0.4923188129	0.2607741332	0.1403220257	0.07482523869	56	85	47	33	33	62	152	131
42	162	28.2654321	535.5528097	0.3827160494	0.1889425946	0.6455916402	0.908203125	78	207	17.45699787	545.9651174	10.47435897	24.7294686	0.6466445923	0.3457641205	0.004845676721	0.03233488906	0.05591228019	0.09886725365	0.4546844927	0.003771958185	0.01992250722	0.03383316562	0.05219207076	0.2360444187	0.5056331559	0.2696014127	0.1410114364	0.07616270774	60	83	46	34	34	62	154	131
43	163	29.26993865	552.2273602	0.3803680982	0.188568366	0.6261991107	0.927734375	81	203	17.51436522	561.0934949	10.5308642	25.85221675	0.6619224548	0.3557649031	0.005119573047	0.02971682827	0.059251753	0.0881040394	0.4797302611	0.004037234419	0.01838416595	0.03641951987	0.04654073824	0.2503832446	0.5197253658	0.2782144723	0.142197089	0.07755043073	62	78	49	30	30	65	153	131
44	164	30.25	569.8947836	0.3902439024	0.1877247171	0.6236240822	0.94140625	83	204	17.21257058	579.32395	9.578313253	27.02941176	0.6768531799	0.3673877617	0.005632948886	0.02927516003	0.05349274428	0.09346705391	0.4949852728	0.004268565574	0.01854021346	0.03407592997	0.04962788349	0.2608751692	0.5335416888	0.2883500589	0.1433114911	0.07903770284	63	80	46	32	32	66	155	132
45	159	31.16981132	573.0356581	0.3899371069	0.1875111088	0.6136359492	0.951171875	89	202	20.23697816	583.3586979	10.68539326	27.5049505	0.6810150146	0.3722001621	0.005762899577	0.03176286399	0.04892278216	0.09600991105	0.4985565579	0.004354706236	0.01966384011	0.03115572748	0.05067903874	0.2663468495	0.5340763751	0.291526481	0.1469386395	0.08067368109	63	86	42	33	33	67	157	134
46	158	32.1835443	589.1549389	0.3860759494	0.1849193387	0.62459619	0.970703125	85	206	20.71302297	600.2134344	11.69411765	27.77184466	0.6954345703	0.383369599	0.005813013496	0.03238532124	0.04399080652	0.09326474474	0.5199806843	0.004382295323	0.02001558578	0.02867019922	0.0496814129	0.2806201058	0.5468943081	0.3008290025	0.1485402622	0.08254059649	63	86	39	33	33	70	159	132
47	154	33.28571429	600.3492098	0.3896103896	0.1832331403	0.6194296288	0.982421875	95	195	21.92889338	610.4047132	11.66315789	29.22051282	0.7061653137	0.3908123652	0.005886765322	0.03218372895	0.04341112752	0.09306492235	0.5316187696	0.004341144978	0.02006827039	0.02805071886	0.04936916632	0.2889830647	0.5569076909	0.307649029	0.1492576228	0.08316333628	65	86	37	32	32	70	160	130
48	153	33.8496732	613.4070781	0.385620915	0.1781630681	0.6183600081	0.994140625	94	196	22.96001947	623.0689072	11.89361702	29.7755102	0.7184371948	0.3996906904	0.005853706481	0.03204767832	0.04419482266	0.08587564641	0.5504653409	0.004275901445	0.02009235177	0.02866889922	0.04543708198	0.301216456	0.5695446902	0.3161326467	0.1488925047	0.08355804368	66	86	37	29	29	72	162	128
